user_id,venue_id,latitude,longitude,category_name,country_code,nearest_city,datetime,score
0,0,51.554968,-0.108426,Soccer Stadium,GB,London,2012-04-08 14:18:48+00:00,1
1,1,51.508015,-0.124283,Nightclub,GB,London,2012-06-02 23:36:28+00:00,2
1,2,51.509517,-0.098491,Bridge,GB,London,2012-05-07 13:52:43+00:00,1
1,3,51.513684,-0.099435,Church,GB,London,2012-05-07 15:27:30+00:00,1
1,4,51.507988,-0.128049,Plaza,GB,London,2012-05-31 22:38:26+00:00,3
1,5,51.473226,-0.27034,Bridge,GB,London,2012-05-31 22:08:31+00:00,1
1,6,51.504556,-0.134811,Plaza,GB,London,2012-05-31 22:31:31+00:00,1
1,7,51.508182,-0.087547,Bridge,GB,London,2012-05-07 15:06:12+00:00,1
1,8,51.481673,-0.009324,Neighborhood,GB,London,2012-05-26 08:05:02+00:00,1
1,9,51.507607,-0.099456,Art Gallery,GB,London,2012-05-07 13:54:55+00:00,1
1,10,51.502852,0.003154,Music Venue,GB,London,2012-05-26 08:09:53+00:00,1
1,11,51.508075,-0.124583,Train Station,GB,London,2012-04-13 01:25:35+00:00,1
1,12,51.503133,-0.11276,Train Station,GB,London,2012-05-26 07:31:22+00:00,1
1,13,51.485846,-0.123811,Train Station,GB,London,2012-05-26 07:27:24+00:00,1
1,14,51.464743,-0.170299,Train Station,GB,London,2012-05-26 07:19:55+00:00,2
1,15,51.460959,-0.188098,Train Station,GB,London,2012-05-26 07:17:29+00:00,1
1,16,51.471914,-0.252535,Train Station,GB,London,2012-05-26 07:11:07+00:00,1
1,17,51.449969,-0.330362,Train Station,GB,London,2012-04-19 22:41:31+00:00,1
1,18,51.468125,-0.267363,Train Station,GB,London,2012-05-26 07:06:59+00:00,1
1,19,51.500395,0.003616,Subway,GB,London,2012-05-26 08:05:23+00:00,1
1,20,51.508115,-0.096946,Theater,GB,London,2012-05-07 14:45:31+00:00,1
1,21,51.462818,-0.13499,Gay Bar,GB,London,2012-05-13 20:42:05+00:00,1
1,22,51.445634,-0.339273,Neighborhood,GB,London,2012-05-30 08:27:37+00:00,24
1,23,51.461147,-0.216744,Train Station,GB,London,2012-05-26 07:14:29+00:00,1
1,24,51.443963,-0.343001,Park,GB,London,2012-05-30 08:27:48+00:00,24
1,25,51.530773,-0.123382,Train Station,GB,London,2012-05-12 13:23:25+00:00,1
1,26,51.461341,-0.302621,Pub,GB,London,2012-04-07 20:45:15+00:00,1
